OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
4202	546518	Loučná pod Klínovcem	1	1	802	80	Helena Stránská, nezávislý kandidát	Helena Stránská, NK	HS, NK	1	080	14	30.52	0
4202	546518	Loučná pod Klínovcem	1	2	813	80	Petr Műller, nezávislý kandidát	Petr Műller, NK	PM, NK	1	080	36	78.5	1
4202	546518	Loučná pod Klínovcem	1	3	810	80	Ing. Rostislav Velek, nezávislý kandidát	Ing. Rostislav Velek, NK	IngRV,NK	1	080	50	109.03	1
4202	546518	Loučná pod Klínovcem	1	4	806	80	Jaroslava Grossmannová, nezávislý kandidát	Jaroslava Grossmannová, NK	JG, NK	1	080	12	26.16	0
4202	546518	Loučná pod Klínovcem	1	5	812	80	Petr Freiberg, nezávislý kandidát	Petr Freiberg, NK	PF, NK	1	080	30	65.42	1
4202	546518	Loučná pod Klínovcem	1	6	803	80	Mgr. Romana Wolfová, nezávislý kandidát	Mgr. Romana Wolfová, NK	MgrRW,NK	1	080	20	43.61	0
4202	546518	Loučná pod Klínovcem	1	7	801	80	Zdeňka Korešová, nezávislý kandidát	Zdeňka Korešová, NK	ZK, NK	1	080	12	26.16	0
4202	546518	Loučná pod Klínovcem	1	8	807	80	Jan Švábík, nezávislý kandidát	Jan Švábík, NK	JŠ, NK	1	080	32	69.78	1
4202	546518	Loučná pod Klínovcem	1	9	805	80	Vladimír Elznic, nezávislý kandidát	Vladimír Elznic, NK	VE, NK	1	080	20	43.61	1
4202	546518	Loučná pod Klínovcem	1	10	804	80	Hana Svěnčíková, nezávislý kandidát	Hana Svěnčíková, NK	HS, NK	1	080	30	65.42	1
4202	546518	Loučná pod Klínovcem	1	11	811	80	Ing. Pavel Fiala, nezávislý kandidát	Ing. Pavel Fiala, NK	IngPF,NK	1	080	18	39.25	0
4202	546518	Loučná pod Klínovcem	1	12	809	80	Petr Habásko, nezávislý kandidát	Petr Habásko, NK	PH, NK	1	080	13	28.34	0
4202	546518	Loučná pod Klínovcem	1	13	808	80	Ladislav Dekst, nezávislý kandidát	Ladislav Dekst, NK	LD, NK	1	080	34	74.14	1
