OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6101	569071	Malčín	1	1	801	80	Karel Koubek, nezávislý kandidát	Karel Koubek, NK	NK	1	080	101	94.51	1
6101	569071	Malčín	1	2	809	80	Petr Žaloudek, nezávislý kandidát	Petr Žaloudek, NK	NK	1	080	30	28.07	0
6101	569071	Malčín	1	3	808	80	Ing. Stanislav Vrba, nezávislý kandidát	Ing. Stanislav Vrba, NK	NK	1	080	99	92.64	1
6101	569071	Malčín	1	4	807	80	Petr Plodík, nezávislý kandidát	Petr Plodík, NK	NK	1	080	68	63.63	1
6101	569071	Malčín	1	5	810	80	Vítězslav Pazderka, nezávislý kandidát	Vítězslav Pazderka, NK	NK	1	080	86	80.48	1
6101	569071	Malčín	1	6	802	80	Pavel Císař, nezávislý kandidát	Pavel Císař, NK	NK	1	080	44	41.17	0
6101	569071	Malčín	1	7	806	80	Zdenka Šustková, nezávislý kandidát	Zdenka Šustková, NK	NK	1	080	59	55.21	0
6101	569071	Malčín	1	8	804	80	Ing. Jiří Vacek, nezávislý kandidát	Ing. Jiří Vacek, NK	NK	1	080	80	74.86	1
6101	569071	Malčín	1	9	805	80	Bohumil Ptáčník, nezávislý kandidát	Bohumil Ptáčník, NK	NK	1	080	95	88.9	1
6101	569071	Malčín	1	10	803	80	Ing. Josef Vacek, nezávislý kandidát	Ing. Josef Vacek, NK	NK	1	080	86	80.48	1
