OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5201	570656	Praskačka	1	1	805	80	Josef Palička, nezávislý kandidát	Josef Palička, NK	NK	1	080	221	86.66	1
5201	570656	Praskačka	1	2	801	80	Jaroslav Věcek, nezávislý kandidát	Jaroslav Věcek, NK	NK	1	080	300	117.64	1
5201	570656	Praskačka	1	3	811	80	Jitka Přerovská, nezávislý kandidát	Jitka Přerovská, NK	NK	1	080	258	101.17	1
5201	570656	Praskačka	1	4	804	80	Jana Melnyková, nezávislý kandidát	Jana Melnyková, NK	NK	1	080	248	97.25	1
5201	570656	Praskačka	1	5	802	80	Stanislav Brambora, nezávislý kandidát	Stanislav Brambora, NK	NK	1	080	218	85.49	1
5201	570656	Praskačka	1	6	809	80	Ivana Máchová, nezávislý kandidát	Ivana Máchová, NK	NK	1	080	227	89.01	1
5201	570656	Praskačka	1	7	808	80	Miroslava Součková, nezávislý kandidát	Miroslava Součková, NK	NK	1	080	265	103.92	1
5201	570656	Praskačka	1	8	807	80	Pavel Fidrmuc, nezávislý kandidát	Pavel Fidrmuc, NK	NK	1	080	182	71.37	1
5201	570656	Praskačka	1	9	812	80	Jiří Komrska, nezávislý kandidát	Jiří Komrska, NK	NK	1	080	179	70.19	0
5201	570656	Praskačka	1	10	816	80	Josef Kotek, nezávislý kandidát	Josef Kotek, NK	NK	1	080	228	89.41	1
5201	570656	Praskačka	1	11	813	80	Pavel Veselý, nezávislý kandidát	Pavel Veselý, NK	NK	1	080	257	100.78	1
5201	570656	Praskačka	1	12	803	80	Jaroslav Malý, nezávislý kandidát	Jaroslav Malý, NK	NK	1	080	246	96.47	1
5201	570656	Praskačka	1	13	814	80	Miroslav Moule, nezávislý kandidát	Miroslav Moule, NK	NK	1	080	317	124.31	1
5201	570656	Praskačka	1	14	815	80	Petr Černohlávek, nezávislý kandidát	Petr Černohlávek, NK	NK	1	080	271	106.27	1
5201	570656	Praskačka	1	15	810	80	Jiří Novák, nezávislý kandidát	Jiří Novák, NK	NK	1	080	226	88.62	1
5201	570656	Praskačka	1	16	806	80	Radek Vosátka, nezávislý kandidát	Radek Vosátka, NK	NK	1	080	182	71.37	1
