OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
8103	555088	Havířov	1	1	152	152	Národní strana	Národní strana	NS	1	152	86	0.15	0
8103	555088	Havířov	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	179903	30.79	15
8103	555088	Havířov	1	3	153	153	Dělnická strana	Dělnická strana	DS	1	153	507	0.33	0
8103	555088	Havířov	1	4	175	175	Česká strana národně socialistická	Česká str.národ.socialistická	ČSNS2005	1	175	4625	0.79	0
8103	555088	Havířov	1	5	5	5	Strana zelených	Strana zelených	SZ	1	005	10571	1.85	0
8103	555088	Havířov	1	6	88	88	NEZÁVISLÍ	NEZÁVISLÍ	NEZ	1	088	21725	3.71	0
8103	555088	Havířov	1	7	172	172	NEZÁVISLÍ DEMOKRATÉ (předseda V.Železný)	NEZ.DEMOKRATÉ(předs.V.Železný)	NEZ/DEM	1	172	1374	0.27	0
8103	555088	Havířov	1	8	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	30594	5.23	2
8103	555088	Havířov	1	9	348	348	Koalice SNK ED, COEX	Koalice SNK ED, COEX		2	072,129	3193	0.54	0
8103	555088	Havířov	1	10	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	134294	23.53	11
8103	555088	Havířov	1	11	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	162124	28.41	13
8103	555088	Havířov	1	12	154	154	Všeobecná občanská strana	Všeobecná občanská strana	VOS	1	154	310	0.22	0
8103	555088	Havířov	1	13	114	114	Hnutí pro Havířov	Hnutí pro Havířov	HPH	1	114	34919	5.97	2
