OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
1199	554782	Hl.m.Praha	1	1	146	146	Nezávislí pro Prahu	Nezávislí pro Prahu	NPP	1	146	287282	1.08	0
1199	554782	Hl.m.Praha	1	2	192	192	POLITIKA 21	POLITIKA 21	"""21"""	1	192	3519	0.15	0
1199	554782	Hl.m.Praha	1	3	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	4197631	15.87	12
1199	554782	Hl.m.Praha	1	4	129	129	SNK Evropští demokraté	SNK Evropští demokraté	SNK ED	1	129	1424620	5.38	4
1199	554782	Hl.m.Praha	1	5	144	144	Věci veřejné	Věci veřejné	VV	1	144	158110	0.63	0
1199	554782	Hl.m.Praha	1	6	339	339	Koalice Křesťanská a demokratická unie-Československá strana lidová a Nestraníci	Koalice KDU-ČSL, Nestran.		2	001,181	861818	3.25	0
1199	554782	Hl.m.Praha	1	7	175	175	Česká strana národně socialistická	Česká str.národ.socialistická	ČSNS2005	1	175	48580	0.22	0
1199	554782	Hl.m.Praha	1	8	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	14389435	54.42	42
1199	554782	Hl.m.Praha	1	9	601	601	Zelení se SONOB (www.zeleniasonob.cz) za ochranu bydlení a proti zdražování nájemného	Zelení se SONOB za ochr.bydl.		2	148,177	264791	1	0
1199	554782	Hl.m.Praha	1	10	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	2096785	7.93	6
1199	554782	Hl.m.Praha	1	11	79	79	Právo a Spravedlnost - ANO tradiční rodině, NE korupci a kriminalitě	Právo a Spravedlnost	PaS	1	079	47636	0.18	0
1199	554782	Hl.m.Praha	1	12	137	137	Strana zdravého rozumu	Strana zdravého rozumu	SZR	1	137	61083	0.23	0
1199	554782	Hl.m.Praha	1	13	113	113	Volba pro město	Volba pro město	VPM	1	113	246038	0.94	0
1199	554782	Hl.m.Praha	1	14	100	100	Humanistická strana	Humanistická strana	H.S.	1	100	8303	0.11	0
1199	554782	Hl.m.Praha	1	15	155	155	SVOBODNÍ	SVOBODNÍ	S	1	155	6860	0.05	0
1199	554782	Hl.m.Praha	1	16	5	5	Strana zelených	Strana zelených	SZ	1	005	2062958	7.8	6
1199	554782	Hl.m.Praha	1	17	98	98	Pravý Blok-strana za ODVOLAT.politiků, NÍZKÉ daně, MIN.byrokracie, SPRAV.justici, REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET	Pravý Blok	PB	1	098	64731	0.41	0
1199	554782	Hl.m.Praha	1	18	55	55	Koruna Česká (monarchistická strana Čech, Moravy a Slezska)	Koruna Česká (monarch.strana)	KČ	1	055	15535	0.17	0
1199	554782	Hl.m.Praha	1	19	176	176	Strana občanské sebeobrany	Strana občanské sebeobrany	SOSPRAHA	1	176	34190	0.13	0
1199	554782	Hl.m.Praha	1	20	171	171	STRANA ROVNOST ŠANCÍ	STRANA ROVNOST ŠANCÍ	SRŠ	1	171	46043	0.6	0
1199	554782	Hl.m.Praha	1	21	172	172	NEZÁVISLÍ DEMOKRATÉ (předseda V.Železný)	NEZ.DEMOKRATÉ(předs.V.Železný)	NEZ/DEM	1	172	22510	0.08	0
1199	554782	Hl.m.Praha	1	22	152	152	Národní strana	Národní strana	NS	1	152	7208	0.07	0
1199	554782	Hl.m.Praha	1	23	77	77	Česká pravice	Česká pravice	ČP	1	077	2415	0.07	0
1199	554782	Hl.m.Praha	1	24	88	88	NEZÁVISLÍ	NEZÁVISLÍ	NEZ	1	088	79247	0.29	0
