OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5303	572250	Březinky	1	1	809	80	Dušan Friedl, nezávislý kandidát	Dušan Friedl, NK	NK	1	080	63	100.68	1
5303	572250	Březinky	1	2	802	80	Lubomír Koch, nezávislý kandidát	Lubomír Koch, NK	NK	1	080	49	78.31	1
5303	572250	Březinky	1	3	810	80	Ivana Vykydalová, nezávislý kandidát	Ivana Vykydalová, NK	NK	1	080	65	103.88	1
5303	572250	Březinky	1	4	804	80	Gabriela Kochová, nezávislý kandidát	Gabriela Kochová, NK	NK	1	080	40	63.92	1
5303	572250	Březinky	1	5	808	80	František Havlíček, nezávislý kandidát	František Havlíček, NK	NK	1	080	49	78.31	1
5303	572250	Březinky	1	6	811	80	Jaroslav Valík, nezávislý kandidát	Jaroslav Valík, NK	NK	1	080	63	100.68	1
5303	572250	Březinky	1	7	807	80	Jana Hofmanová, nezávislý kandidát	Jana Hofmanová, NK	NK	1	080	29	46.34	0
5303	572250	Březinky	1	8	803	80	Pavel Pokorný, nezávislý kandidát	Pavel Pokorný, NK	NK	1	080	15	23.97	0
5303	572250	Březinky	1	9	806	80	Eva Zemánková, nezávislý kandidát	Eva Zemánková, NK	NK	1	080	17	27.16	0
5303	572250	Březinky	1	10	805	80	Eva Nárožná, nezávislý kandidát	Eva Nárožná, NK	NK	1	080	34	54.33	1
5303	572250	Březinky	1	11	801	80	Pavel Novák, nezávislý kandidát	Pavel Novák, NK	NK	1	080	14	22.37	0
