OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5205	530808	Královec	1	1	901	90	Sdružení nezávislých kandidátů - Pro Královec	SNK - Pro Královec	SNK-CELK	1	080	261	100	5
5205	546470	Litíč	1	1	901	90	"Sdružení nezávislých kandidátů - ""Za Litíč"""	"SNK- ""Za Litíč"""	SNK-CELK	1	080	487	70.78	7
5205	546470	Litíč	1	2	129	129	SNK Evropští demokraté	SNK Evropští demokraté	SNK ED	1	129	201	29.21	2
5205	548804	Lampertice	1	1	901	90	Sdružení nezávislých kandidátů I.	SNK I.	SNK-CELK	1	080	534	77.14	4
5205	548804	Lampertice	1	2	903	90	Sdružení nezávislých kandidátů SDH Lampertice	SNK SDH Lampertice	SNK-CELK	1	080	261	31.42	2
5205	548804	Lampertice	1	3	902	90	Sdružení nezávislých kandidátů II.	SNK II.	SNK-CELK	1	080	451	65.15	3
5205	548812	Stanovice	1	1	901	90	Sdružení nezávislých kandidátů - Za obec Stanovice	SNK - Za obec Stanovice	SNK-CELK	1	080	127	100	7
5205	548821	Borovnička	1	1	192	192	POLITIKA 21	POLITIKA 21	"""21"""	1	192	10	11.62	0
5205	548821	Borovnička	1	2	901	90	Sdruzení nezávislých kandidátu - VOLBY 2006	SNK- VOLBY 2006	SNK-CELK	1	080	592	98.33	7
5205	548839	Zábřezí-Řečice	1	1	901	90	Sdružení nezávislých kandidátů	Sdruž.nezáv.kand.	SNK-CELK	1	080	558	100	7
5205	548847	Zdobín	1	1	901	90	Sdružení nezávislých kandidátů	SNK	SNK-CELK	1	080	405	100	7
5205	554863	Dolní Brusnice	1	1	813	80	Karel Mann, nezávislý kandidát	Karel Mann, NK	NK	1	080	62	46.26	0
5205	554863	Dolní Brusnice	1	2	811	80	Petr Šístek, nezávislý kandidát	Petr Šístek, NK	NK	1	080	20	14.92	0
5205	554863	Dolní Brusnice	1	3	806	80	Jaroslav Svědiroh, nezávislý kandidát	Jaroslav Svědiroh, NK	NK	1	080	103	76.86	1
5205	554863	Dolní Brusnice	1	4	810	80	Marcela Janáková, nezávislý kandidát	Marcela Janáková, NK	NK	1	080	104	77.61	1
5205	554863	Dolní Brusnice	1	5	802	80	Štěpán Vávra, nezávislý kandidát	Štěpán Vávra, NK	NK	1	080	94	70.14	1
