OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6201	582506	Tasovice	1	1	801	80	Dušan Davídek, nezávislý kandidát	Dušan Davídek, NK	NK	1	080	33	85.23	1
6201	582506	Tasovice	1	2	802	80	Ivan Jonáš, nezávislý kandidát	Ivan Jonáš, NK	NK	1	080	9	23.24	0
6201	582506	Tasovice	1	3	803	80	Veronika Straková, nezávislý kandidát	Veronika Straková, NK	NK	1	080	16	41.32	0
6201	582506	Tasovice	1	4	804	80	Ivana Piskořová, nezávislý kandidát	Ivana Piskořová, NK	NK	1	080	27	69.74	1
6201	582506	Tasovice	1	5	805	80	Michal Štaud, nezávislý kandidát	Michal Štaud, NK	NK	1	080	31	80.07	1
6201	582506	Tasovice	1	6	806	80	František Dobrovský, nezávislý kandidát	František Dobrovský, NK	NK	1	080	38	98.15	1
6201	582506	Tasovice	1	7	807	80	Josef Fousek, nezávislý kandidát	Josef Fousek, NK	NK	1	080	10	25.83	0
6201	582506	Tasovice	1	8	808	80	Jan Nedoma, nezávislý kandidát	Jan Nedoma, NK	NK	1	080	23	59.4	1
6201	582506	Tasovice	1	9	809	80	Martin Mlčoch, nezávislý kandidát	Martin Mlčoch, NK	NK	1	080	24	61.99	1
6201	582506	Tasovice	1	10	810	80	Pavel Fadrný, nezávislý kandidát	Pavel Fadrný, NK	NK	1	080	31	80.07	1
6201	582506	Tasovice	1	11	811	80	Božena Skřipská, nezávislý kandidát	Božena Skřipská, NK	NK	1	080	20	51.66	0
6201	582506	Tasovice	1	12	812	80	Ema Straková, nezávislý kandidát	Ema Straková, NK	NK	1	080	9	23.24	0
