OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6203	506699	Otmarov	1	1	804	80	Tomáš Vychodil	Tomáš Vychodil	NK	1	080	40	31.6	0
6203	506699	Otmarov	1	2	811	80	Martin Lauterbach	Martin Lauterbach	NK	1	080	91	71.89	1
6203	506699	Otmarov	1	3	802	80	Petr Kordík	Petr Kordík	NK	1	080	57	45.03	0
6203	506699	Otmarov	1	4	803	80	Jiří Vychodil	Jiří Vychodil	NK	1	080	45	35.55	0
6203	506699	Otmarov	1	5	812	80	Pavel Florian	Pavel Florian	NK	1	080	76	60.04	1
6203	506699	Otmarov	1	6	806	80	Tomáš Koláček	Tomáš Koláček	NK	1	080	76	60.04	1
6203	506699	Otmarov	1	7	808	80	Josef Doležal	Josef Doležal	NK	1	080	39	30.81	0
6203	506699	Otmarov	1	8	807	80	Rostislav Bednář	Rostislav Bednář	NK	1	080	104	82.16	1
6203	506699	Otmarov	1	9	810	80	Zdeněk Grolich	Zdeněk Grolich	NK	1	080	41	32.39	0
6203	506699	Otmarov	1	10	805	80	Rudolf Konečný	Rudolf Konečný	NK	1	080	74	58.46	1
6203	506699	Otmarov	1	11	809	80	Dana Grolichová	Dana Grolichová	NK	1	080	55	43.45	0
6203	506699	Otmarov	1	12	813	80	Jan Florian	Jan Florian	NK	1	080	111	87.69	1
6203	506699	Otmarov	1	13	801	80	Zdeněk Gregorovič	Zdeněk Gregorovič	NK	1	080	77	60.83	1
