OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
5301	1	2	571164	Chrudim	0	1	27	23323	chrudim
5301	1	2	571393	Hlinsko	0	1	21	10205	hlinsko
5301	1	2	572241	Skuteč	0	1	19	5300	skutec
5301	1	2	571385	Heřmanův Městec	0	1	21	4992	hermanuv-mestec
5301	1	2	572268	Slatiňany	0	1	21	4108	slatinany
5301	1	2	571539	Chrast	0	1	15	3202	chrast
5301	1	2	572411	Třemošnice	0	1	15	3160	tremosnice
5301	1	2	571776	Luže	0	1	15	2603	luze
5301	1	1	572080	Proseč	0	1	15	2167	prosec
5301	1	1	571491	Hrochův Týnec	0	1	11	1930	hrochuv-tynec
5301	1	2	572161	Ronov nad Doubravou	0	1	15	1744	ronov-nad-doubravou
5301	1	2	572225	Seč	0	1	15	1658	sec
5301	1	2	571911	Nasavrky	0	1	15	1651	nasavrky
5301	1	1	572071	Prachovice	0	1	11	1460	prachovice
5301	1	1	571661	Krouna	0	1	15	1388	krouna
5301	1	1	572179	Rosice	0	1	15	1381	rosice
5301	1	6	571547	Chroustovice	0	1	15	1268	chroustovice
5301	1	1	571831	Miřetice	0	1	11	1233	miretice
5301	1	1	572578	Zaječice	0	1	15	1030	zajecice
5301	1	1	571768	Lukavice	0	1	11	927	lukavice
5301	1	1	572349	Svratouch	0	1	9	894	svratouch
5301	1	6	572390	Trhová Kamenice	0	1	7	889	trhova-kamenice
5301	1	1	571571	Kameničky	0	1	15	804	kamenicky
5301	1	1	572098	Prosetín	0	1	15	800	prosetin
5301	1	1	571440	Holetín	0	1	9	767	holetin
5301	1	1	572276	Sobětuchy	0	1	15	763	sobetuchy
5301	1	1	571962	Orel	0	1	11	715	orel
5301	1	1	556882	Rabštejnská Lhota	0	1	15	705	rabstejnska-lhota
5301	1	1	572551	Vysočina	0	1	7	677	vysocina
5301	1	6	571202	Bojanov	0	1	9	646	bojanov
5301	1	1	571873	Morašice	0	1	15	615	morasice
5301	1	1	571610	Kočí	0	1	7	603	koci
5301	1	1	572420	Tuněchody	0	1	9	590	tunechody
5301	1	6	572462	Včelákov	0	1	7	558	vcelakov
5301	1	1	571903	Načešice	0	1	9	557	nacesice
5301	1	1	571181	Běstvina	0	1	11	521	bestvina
