OKRES	TYPZASTUP	DRUHZASTUP	KODZASTUP	NAZEVZAST	OBVODY	COBVODU	MANDATY	POCOBYV	key
2105	1	2	533955	Kutná Hora	0	1	27	21425	kutna-hora
2105	1	2	534005	Čáslav	0	1	21	10120	caslav
2105	1	2	534633	Zruč nad Sázavou	0	1	15	4962	zruc-nad-sazavou
2105	1	2	534498	Uhlířské Janovice	0	1	15	3128	uhlirske-janovice
2105	1	1	534587	Vrdy	0	1	15	3057	vrdy
2105	1	1	534617	Zbraslavice	0	1	11	1408	zbraslavice
2105	1	1	534668	Žleby	0	1	11	1304	zleby
2105	1	1	533998	Církvice	0	1	9	1206	cirkvice
2105	1	1	534439	Suchdol	0	1	15	1087	suchdol
2105	1	6	534188	Malešov	0	1	15	940	malesov
2105	1	1	534242	Nové Dvory	0	1	9	860	nove-dvory
2105	1	1	534200	Miskovice	0	1	15	852	miskovice
2105	1	1	534595	Záboří nad Labem	0	1	9	842	zabori-nad-labem
2105	1	6	534129	Kácov	0	1	9	826	kacov
2105	1	1	534196	Svatý Mikuláš	0	1	9	770	svaty-mikulas
2105	1	1	534021	Červené Janovice	0	1	9	722	cervene-janovice
2105	1	1	534099	Chlístovice	0	1	15	717	chlistovice
2105	1	1	534102	Chotusice	0	1	7	715	chotusice
2105	1	1	534161	Křesetice	0	1	9	665	kresetice
2105	1	1	534510	Úžice	0	1	15	626	uzice
2105	1	1	534625	Zbýšov	0	1	9	620	zbysov
2105	1	6	534650	Žehušice	0	1	9	617	zehusice
2105	1	1	534480	Tupadly	0	1	9	608	tupadly
2105	1	6	533971	Bílé Podolí	0	1	9	604	bile-podoli
2105	1	1	534331	Potěhy	0	1	11	601	potehy
2105	1	1	534579	Vlkaneč	0	1	9	595	vlkanec
2105	1	6	534358	Rataje nad Sázavou	0	1	9	556	rataje-nad-sazavou
2105	1	1	534561	Vlastějovice	0	1	9	505	vlastejovice
2105	1	1	531197	Hlízov	0	1	7	484	hlizov
2105	1	1	534528	Vavřinec	0	1	9	469	vavrinec
2105	1	1	534501	Úmonín	0	1	9	463	umonin
2105	1	1	534137	Kluky	0	1	7	457	kluky
2105	1	1	534030	Čestín	0	1	9	438	cestin
2105	1	1	534609	Zbizuby	0	1	9	438	zbizuby
2105	1	1	533980	Bohdaneč	0	1	7	435	bohdanec
2105	1	1	534153	Krchleby	0	1	7	403	krchleby
2105	1	1	531341	Drobovice	0	1	7	394	drobovice
2105	1	1	531359	Horky	0	1	7	392	horky
2105	1	1	534056	Horka II	0	1	9	387	horka-ii
2105	1	1	531430	Horka I	0	1	7	386	horka-i
2105	1	1	531286	Bratčice	0	1	7	380	bratcice
2105	1	1	534013	Černíny	0	1	7	374	cerniny
2105	1	1	534340	Rašovice	0	1	9	373	rasovice
2105	1	1	530999	Močovice	0	1	7	337	mocovice
2105	1	1	534641	Žáky	0	1	7	336	zaky
2105	1	1	534315	Petrovice I	0	1	7	302	petrovice-i
2105	1	1	534277	Onomyšl	0	1	9	288	onomysl
2105	1	1	526622	Rohozec	0	1	7	267	rohozec
2105	1	1	534552	Vlačice	0	1	7	266	vlacice
2105	1	1	530859	Semtěš	0	1	7	264	semtes
2105	1	1	534544	Vinaře	0	1	7	261	vinare
2105	1	1	534412	Staňkovice	0	1	9	259	stankovice
2105	1	1	530981	Třebešice	0	1	7	255	trebesice
2105	1	1	534064	Hostovlice	0	1	7	248	hostovlice
2105	1	1	534366	Řendějov	0	1	7	245	rendejov
2105	1	1	534081	Chabeřice	0	1	7	236	chaberice
2105	1	1	534536	Vidice	0	1	7	223	vidice
2105	1	1	528196	Podveky	0	1	9	217	podveky
2105	1	1	534226	Nepoměřice	0	1	9	216	nepomerice
2105	1	1	531481	Horušice	0	1	7	203	horusice
2105	1	1	531405	Kobylnice	0	1	7	196	kobylnice
2105	1	1	534251	Okřesaneč	0	1	7	185	okresanec
2105	1	1	531111	Bernardov	0	1	5	175	bernardov
2105	1	1	531278	Paběnice	0	1	7	168	pabenice
2105	1	1	534170	Ledečko	0	1	7	163	ledecko
2105	1	1	534391	Slavošov	0	1	7	159	slavosov
2105	1	1	534307	Pertoltice	0	1	7	150	pertoltice
2105	1	1	534293	Soběšín	0	1	7	147	sobesin
2105	1	1	530930	Štipoklasy	0	1	7	143	stipoklasy
2105	1	1	571741	Třebonín	0	1	5	136	trebonin
2105	1	1	534374	Samopše	0	1	5	134	samopse
2105	1	1	530956	Opatovice I	0	1	6	125	opatovice-i
2105	1	1	529559	Dobrovítov	0	1	9	122	dobrovitov
2105	1	1	531065	Souňov	0	1	7	121	sounov
2105	1	1	531413	Hraběšín	0	1	7	120	hrabesin
2105	1	1	531421	Šebestěnice	0	1	5	117	sebestenice
2105	1	1	530832	Brambory	0	1	7	111	brambory
2105	1	1	530875	Starkoč	0	1	5	109	starkoc
2105	1	1	530972	Třebětín	0	1	5	109	trebetin
2105	1	1	531367	Adamov	0	1	5	101	adamov
2105	1	1	534323	Petrovice II	0	1	7	98	petrovice-ii
2105	1	1	531260	Dolní Pohleď	0	1	7	95	dolni-pohled
2105	1	1	531014	Vodranty	0	1	6	75	vodranty
2105	1	1	531391	Sudějov	0	1	5	68	sudejov
2105	1	1	531383	Schořov	0	1	5	65	schorov
2105	1	1	551465	Košice	0	1	5	46	kosice
2105	1	1	529524	Čejkovice	0	1	5	34	cejkovice
2105	1	1	530964	Bludov	0	1	5	27	bludov
