OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2110	513431	Chýnice	1	1	901	90	Sdružení pro zachování venkovského charakteru obce Chýnice	Sdr.pro zach.venk.char.Chýnice	SNK	1	080	384	28.4	2
2110	513431	Chýnice	1	2	902	90	Sdružení pro rozvoj obce Chýnice	Sdruž. pro rozvoj obce Chýnice	SNK	1	080	469	34.68	2
2110	513431	Chýnice	1	3	470	470	PRO BUDOUCNOST CHÝNICE	PRO BUDOUCNOST CHÝNICE		2	080,166	499	36.9	3
2110	513458	Vestec	1	1	901	90	SNK VESTEC	SNK VESTEC	SNK	1	080	3032	29.41	4
2110	513458	Vestec	1	2	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	1829	17.74	3
2110	513458	Vestec	1	3	902	90	NÁŠ DOMOV VESTEC	NÁŠ DOMOV VESTEC	SNK	1	080	1905	18.47	3
2110	513458	Vestec	1	4	7	7	Česká strana sociálně demokratická	Česká strana soc.demokrat.	ČSSD	1	007	319	6.63	0
2110	513458	Vestec	1	5	721	721	TOP 09	TOP 09	TOP 09	1	721	3224	31.27	5
2110	531146	Drahelčice	1	1	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	641	72.67	4
2110	531146	Drahelčice	1	2	902	90	"Sdružení nezávislých kandidátů II. ""Udržitelný rozvoj Drahelčic"""	"SNK II. ""Udrž. rozvoj Drahel."""	SNK	1	080	388	65.98	3
2110	531618	Nučice	1	1	902	90	Zdravé a zelené Nučice	Zdravé a zelené Nučice	SNK	1	080	1276	25.64	2
2110	531618	Nučice	1	2	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	3699	74.35	5
2110	531723	Rudná	1	1	495	495	TOP 09 a NEZÁVISLÍ	TOP 09 a NEZÁVISLÍ		3	080,166,721	7279	29.05	5
2110	531723	Rudná	1	2	53	53	Občanská demokratická strana (ODS)	Občanská demokratická strana	ODS	1	053	11234	44.84	7
2110	531723	Rudná	1	3	7	7	Česká strana sociálně demokratická (ČSSD)	Česká str.sociálně demokrat.	ČSSD	1	007	2270	9.06	1
2110	531723	Rudná	1	4	901	90	SDRUŽENÍ PRO ROZVOJ RUDNÉ	SDRUŽENÍ PRO ROZVOJ RUDNÉ	SNK	1	080	4270	17.04	2
2110	531821	Tachlovice	1	1	809	80	Vlastimil Semerád, nezávislý kandidát	Vlastimil Semerád, NK	NK	1	080	207	69.42	0
2110	531821	Tachlovice	1	2	804	80	NEZÁVISLÝ - MIROSLAV MAREŠ	NEZÁVISLÝ - MIROSLAV MAREŠ	NK	1	080	230	77.14	1
2110	531821	Tachlovice	1	3	805	80	NEZÁVISLÝ - KAREL MUSÍLEK	NEZÁVISLÝ - KAREL MUSÍLEK	NK	1	080	107	35.88	0
