OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2111	541371	Suchodol	1	1	806	80	NEZÁVISLÝ KANDIDÁT-DAGMAR ŠTVERÁKOVÁ HEJDUKOVÁ	NEZ. KAN.-DAGM.ŠTVER.HEJDUK	NK	1	080	109	70.71	1
2111	541371	Suchodol	1	2	803	80	NEZÁVISLÝ KANDIDÁT-EMIL TABAČEK	NEZÁV. KANDIDÁT-EMIL TABAČEK	NK	1	080	158	102.5	1
2111	541371	Suchodol	1	3	805	80	NEZÁVISLÝ KANDIDÁT-DANA HEJDUKOVÁ	NEZÁV. KANDID.-DANA HEJDUKOVÁ	NK	1	080	62	40.22	0
2111	541371	Suchodol	1	4	810	80	Ing. Martin Štverák-nezávislý kandidát	Ing. Martin Štverák-nez.kand.	NK	1	080	83	53.84	0
2111	541371	Suchodol	1	5	801	80	NEZÁVISLÝ KANDIDÁT-JULIUS DONÁTH	NEZÁV. KANDIDÁT-JULIUS DONÁTH	NK	1	080	130	84.33	1
2111	541371	Suchodol	1	6	809	80	NEZÁVISLÝ KANDIDÁT-VÁCLAV KROPÁČ	NEZÁV. KANDIDÁT-VÁCLAV KROPÁČ	NK	1	080	89	57.73	1
2111	541371	Suchodol	1	7	808	80	NEZÁVISLÝ KANDIDÁT-JOSEF DOLEŽAL	NEZÁV. KANDIDÁT-JOSEF DOLEŽAL	NK	1	080	151	97.96	1
2111	541371	Suchodol	1	8	802	80	NEZÁVISLÝ KANDIDÁT-VÁCLAV HORKÝ	NEZÁV. KANDIDÁT-VÁCLAV HORKÝ	NK	1	080	121	78.49	1
2111	541371	Suchodol	1	9	807	80	NEZÁVISLÝ KANDIDÁT-PETRA BLÁHOVÁ	NEZÁV. KANDIDÁT-PETRA BLÁHOVÁ	NK	1	080	133	86.28	1
2111	541371	Suchodol	1	10	804	80	NEZÁVISLÝ KANDIDÁT-MARKÉTA MUDROVÁ	NEZÁV. KANDID.-MARKÉTA MUDROVÁ	NK	1	080	43	27.89	0
