OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5301	571407	Hluboká	1	1	811	80	Pavlína Lebedová	Pavlína Lebedová, NK	NK	1	080	63	73.92	1
5301	571407	Hluboká	1	2	807	80	Libor Lněnička	Libor Lněnička, NK	NK	1	080	39	45.76	0
5301	571407	Hluboká	1	3	812	80	Pavlína Lebedová ml.	Pavlína Lebedová ml., NK	NK	1	080	34	39.89	0
5301	571407	Hluboká	1	4	805	80	Josef Lorenc	Josef Lorenc, NK	NK	1	080	54	63.36	1
5301	571407	Hluboká	1	5	806	80	Ladislav Kulhavý	Ladislav Kulhavý, NK	NK	1	080	46	53.97	1
5301	571407	Hluboká	1	6	813	80	Pavlína Sejkorová	Pavlína Sejkorová, NK	NK	1	080	42	49.28	0
5301	571407	Hluboká	1	7	814	80	Roman Opletal	Roman Opletal, NK	NK	1	080	31	36.37	0
5301	571407	Hluboká	1	8	815	80	Václav Tměj	Václav Tměj, NK	NK	1	080	73	85.65	1
5301	571407	Hluboká	1	9	808	80	Lukáš Sodomka	Lukáš Sodomka, NK	NK	1	080	80	93.87	1
5301	571407	Hluboká	1	10	802	80	Jaroslav Bureš	Jaroslav Bureš, NK	NK	1	080	60	70.4	1
5301	571407	Hluboká	1	11	810	80	Miroslav Trunec	Miroslav Trunec, NK	NK	1	080	42	49.28	1
5301	571407	Hluboká	1	12	804	80	Jaroslav Sejkora	Jaroslav Sejkora, NK	NK	1	080	35	41.06	0
5301	571407	Hluboká	1	13	809	80	Martin Nešetřil	Martin Nešetřil, NK	NK	1	080	31	36.37	0
5301	571407	Hluboká	1	14	801	80	Anna Pytlíková	Anna Pytlíková, NK	NK	1	080	80	93.87	1
5301	571407	Hluboká	1	15	803	80	Jaroslav Koutný	Jaroslav Koutný, NK	NK	1	080	57	66.88	1
