OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3201	553425	Domažlice	1	1	721	721	TOP 09	TOP 09	TOP 09	1	721	2888	3.9	0
3201	553425	Domažlice	1	2	482	482	Domažlice a okolí o.s. - změna pro Domažlice - sdružení DSZ a NK	Domažlice a okolí o.s.-DSZ NK		2	080,715	1117	1.5	0
3201	553425	Domažlice	1	3	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	8101	11.49	2
3201	553425	Domažlice	1	4	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	6440	8.7	2
3201	553425	Domažlice	1	5	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	2043	2.76	0
3201	553425	Domažlice	1	6	720	720	Česká pirátská strana	Česká pirátská strana	Piráti	1	720	2727	3.68	0
3201	553425	Domažlice	1	7	768	768	ANO 2011	ANO 2011	ANO 2011	1	768	6688	9.03	2
3201	553425	Domažlice	1	8	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	16833	22.74	6
3201	553425	Domažlice	1	9	470	470	Sdružení pro Město Domažlice	Sdružení pro Město Domažlice		2	080,166	27162	36.7	9
3201	553433	Babylon	1	1	768	768	ANO 2011	ANO 2011	ANO 2011	1	768	514	52.34	4
3201	553433	Babylon	1	2	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166	468	47.65	3
3201	553441	Bělá nad Radbuzou	1	1	901	90	Nezávislí	Nezávislí	SNK	1	080	1076	11.65	2
3201	553441	Bělá nad Radbuzou	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	1259	13.63	2
3201	553441	Bělá nad Radbuzou	1	3	427	427	Pro naše občany	Pro naše občany		2	080,143	1351	14.63	2
3201	553441	Bělá nad Radbuzou	1	4	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	1046	11.33	1
3201	553441	Bělá nad Radbuzou	1	5	340	340	Nezávislí a Křesťanská a demokratická unie - Československá strana lidová	Nezávislí a KDU-ČSL		2	001,166	4500	48.74	8
3201	553450	Blížejov	1	1	902	90	NEZÁVISLÍ BLÍŽEJOV	SNK Nezávislí Blížejov	SNK	1	080	4038	82.79	9
3201	553450	Blížejov	1	2	901	90	BLÍŽEJOVSKO	SNK Blížejovsko	SNK	1	080	839	27.03	2
3201	553506	Bukovec	1	1	801	80	Anna Weisová	Anna Weisová, NK	NK	1	080	25	49.01	0
3201	553506	Bukovec	1	2	901	90	Za lepší Bukovec	Za lepší Bukovec	SNK	1	080	139	38.93	3
3201	553506	Bukovec	1	3	902	90	Sdružení nezávislých kandidátů pro obec Bukovec	SNK pro obec Bukovec	SNK	1	080	123	34.45	3
3201	553506	Bukovec	1	4	903	90	Pro lidi	Pro lidi	SNK	1	080	70	45.75	1
3201	553514	Čermná	1	1	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	863	100	9
3201	553549	Česká Kubice	1	1	482	482	Demokratická strana zelených a nezávislí kandidáti - sdružení DSZ a NK	Sdružení DSZ a NK		2	080,715	51	33.39	0
3201	553549	Česká Kubice	1	2	901	90	Sdružení nezávislých kandidátů Česká Kubice	Sdruž.nezáv.kand.Česká Kubice	SNK	1	080	1629	96.96	11
3201	553557	Díly	1	1	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	1043	88.91	7
3201	553557	Díly	1	2	482	482	Demokratická strana zelených a nezávislí kandidáti - sdružení DSZ a NK	Sdružení DSZ a NK		2	080,715	130	25.85	0
3201	553573	Drahotín	1	1	901	90	Za obnovu obce	Za obnovu obce	SNK	1	080	155	33.19	2
3201	553573	Drahotín	1	2	902	90	Za moderní obec	Za moderní obec	SNK	1	080	312	66.8	5
