OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5103	564028	Frýdlant	1	1	112	112	HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST	HN.ZA HARM.ROZVOJ OBCÍ A MĚST	HNHRM	1	112	4870	9.91	2
5103	564028	Frýdlant	1	2	703	703	Starostové pro Liberecký kraj	Starostové pro Liberecký kraj	SLK	1	703	3404	6.93	1
5103	564028	Frýdlant	1	3	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	5040	10.26	2
5103	564028	Frýdlant	1	4	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	9111	18.55	5
5103	564028	Frýdlant	1	5	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	4302	9.19	2
5103	564028	Frýdlant	1	6	721	721	TOP 09	TOP 09	TOP 09	1	721	1659	3.37	0
5103	564028	Frýdlant	1	7	407	407	SOS pro Frýdlant	SOS pro Frýdlant		2	080,103	6664	13.56	3
5103	564028	Frýdlant	1	8	901	90	Frýdlant sobě	Frýdlant sobě	SNK	1	080	4232	8.61	2
5103	564028	Frýdlant	1	9	902	90	ZA LEPŠÍ FRÝDLANT	ZA LEPŠÍ FRÝDLANT	SNK	1	080	3484	7.09	1
5103	564028	Frýdlant	1	10	768	768	ANO 2011	ANO 2011	ANO 2011	1	768	6345	12.91	3
