OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3203	545988	Plzeň 2-Slovany	1	1	1033	1033	Plzeň pro sport	Plzeň pro sport	PPS	1	1033	3754	1.61	0
3203	545988	Plzeň 2-Slovany	1	2	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	34854	14.99	5
3203	545988	Plzeň 2-Slovany	1	3	111	111	Pravá volba pro Plzeň (PVP)	Pravá volba pro Plzeň (PVP)	PVP	1	111	5161	2.39	0
3203	545988	Plzeň 2-Slovany	1	4	721	721	TOP 09	TOP 09	TOP 09	1	721	19100	8.21	2
3203	545988	Plzeň 2-Slovany	1	5	565	565	VEŘEJNÉ ZÁJMY PLZNĚ s podporou Iniciativy za levnější MHD, spolku P-FANS a Úsvit	VEŘEJNÉ ZÁJMY PLZNĚ		3	080,792,1045	5573	2.39	0
3203	545988	Plzeň 2-Slovany	1	6	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	19004	8.17	2
3203	545988	Plzeň 2-Slovany	1	7	1	1	Křesťanská a demokratická unie - Československá strana lidová (KDU-ČSL)	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	15421	6.63	2
3203	545988	Plzeň 2-Slovany	1	8	1022	1022	Občané patrioti	Občané patrioti	OPAT	1	1022	10810	4.65	0
3203	545988	Plzeň 2-Slovany	1	9	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	57558	24.76	9
3203	545988	Plzeň 2-Slovany	1	10	1084	1084	Společně za Plzeň-koalice Plzeňské aliance, Piráti, Změna, STAN a SZ	Společně za Plzeň		5	005,080,166,720,771	12704	5.46	1
3203	545988	Plzeň 2-Slovany	1	11	714	714	Strana svobodných občanů	Strana svobodných občanů	Svobodní	1	714	5531	2.37	0
3203	545988	Plzeň 2-Slovany	1	12	557	557	Změna pro Plzeň	Změna pro Plzeň		2	080,177	3596	2.32	0
3203	545988	Plzeň 2-Slovany	1	13	768	768	ANO 2011	ANO 2011	ANO 2011	1	768	39368	16.93	6
