OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
2111	540790	Nalžovice	1	1	812	80	Pavel Sosnovec-nezávislý kandidát	Pavel Sosnovec-nez. kandidát	Pav. Sosnove-NK	1	080	147	78.9	1
2111	540790	Nalžovice	1	2	811	80	Ivan Grin - nezávislý kandidát	Ivan Grin - nezávislý kandidát	Ivan Grin-NK	1	080	128	68.7	1
2111	540790	Nalžovice	1	3	371	371	Sdružení ČSSD a nezávislých kandidátů	Sdružení ČSSD a nez.kandidátů		2	007,080	132	23.61	1
2111	540790	Nalžovice	1	4	801	80	Jana Pšeničková- nezávislý kandidát	Jana Pšeničková-NK	J.Pšeničková-NK	1	080	167	89.63	1
2111	540790	Nalžovice	1	5	808	80	Jana Mašková - nezávislý kandidát	Jana Mašková  - NK	J.Mašk. - NK	1	080	113	60.65	0
2111	540790	Nalžovice	1	6	803	80	Ivana Křížková-nezávislý kandidát	Ivana Křížková-NK	I.Křížková-NK	1	080	116	62.26	1
2111	540790	Nalžovice	1	7	814	80	Jan Cihelka- nezávislý kandidát	Jan Cihelka-NK	Jan Cihelka-NK	1	080	108	57.96	0
2111	540790	Nalžovice	1	8	813	80	Bc. Petr Lomoz	Bc. Petr Lomoz	Bc. Petr Lomoz	1	080	98	52.6	0
2111	540790	Nalžovice	1	9	815	80	Zdeněk Malenda, nezávislý kandidát	Zdeněk Malenda, nez. kandidát	Z.Malenda,NK	1	080	131	70.31	1
2111	540790	Nalžovice	1	10	816	80	Jiří Dragoun - nezávislý kandidát	Jiří Dragoun -  NK	Jiří Dragoun-NK	1	080	109	58.5	0
2111	540790	Nalžovice	1	11	810	80	Luboš Sůsa - nezávislý kandidát	Luboš Sůsa - nezávislý kandidá	L.Sůsa-nez.kan	1	080	151	81.04	1
2111	540790	Nalžovice	1	12	809	80	Josef Kubín - nezávislý kandidát	Josef Kubín - NK	Jos.Kubín - NK	1	080	155	83.19	1
2111	540790	Nalžovice	1	13	807	80	Jaroslava Balounová -  nezávislý kandidát	Jaroslava Balounová - NK	J.Baloun.-NK	1	080	169	90.71	1
2111	540790	Nalžovice	1	14	806	80	Roman Bouček- nezávislý kandidát	Roman Bouček-NK	Rom.Bouček-NK	1	080	106	56.89	0
2111	540790	Nalžovice	1	15	802	80	Jaroslava Bulínová- nezávislý kandidát	Jaroslava Bulínová- NK	J.Bulínová-NK	1	080	144	77.29	1
2111	540790	Nalžovice	1	16	805	80	Jiří Podrázký- nezávislý kandidát	Jiří Podrázký -NK	J.Podrázký - NK	1	080	181	97.15	1
2111	540790	Nalžovice	1	17	804	80	Zbyněk Malý- nezávislý kandidát	Zbyněk Malý- NK	Zbyněk Malý-NK	1	080	116	62.26	1
2111	540790	Nalžovice	1	18	817	80	Pavel Litoš	Pavel Litoš	Pavel Litoš	1	080	151	81.04	1
