OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3107	563145	Chrbonín	1	1	801	80	Josef Veselý, nezávislý kandidát	Josef Veselý, NK	NK	1	080	47	49.62	0
3107	563145	Chrbonín	1	2	809	80	Miroslav Kazda, nezávislý kandidát	Miroslav Kazda, NK	NK	1	080	79	83.4	1
3107	563145	Chrbonín	1	3	811	80	Miroslav Veselý, nezávislý kandidát	Miroslav Veselý, NK	NK	1	080	66	69.68	1
3107	563145	Chrbonín	1	4	806	80	Jiří Kvasnička, nezávislý kandidát	Jiří Kvasnička, NK	NK	1	080	76	80.24	1
3107	563145	Chrbonín	1	5	810	80	Marie Kůrková, nezávislý kandidát	Marie Kůrková, NK	NK	1	080	49	51.73	1
3107	563145	Chrbonín	1	6	803	80	Michal Broum, nezávislý kandidát	Michal Broum, NK	NK	1	080	95	100.3	1
3107	563145	Chrbonín	1	7	808	80	Lenka Váchová, nezávislý kandidát	Lenka Váchová, NK	NK	1	080	41	43.28	0
3107	563145	Chrbonín	1	8	805	80	František Chlada, nezávislý kandidát	František Chlada, NK	NK	1	080	31	32.73	0
3107	563145	Chrbonín	1	9	807	80	Tomáš Drda, nezávislý kandidát	Tomáš Drda, NK	NK	1	080	51	53.84	1
3107	563145	Chrbonín	1	10	802	80	David Dvořák, nezávislý kandidát	David Dvořák, NK	NK	1	080	48	50.67	0
3107	563145	Chrbonín	1	11	804	80	Jaroslav Tupý, nezávislý kandidát	Jaroslav Tupý, NK	NK	1	080	80	84.46	1
