OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6104	590304	Benetice	1	1	801	80	Petr Vaněk	Petr Vaněk	NK	1	080	67	59.14	1
6104	590304	Benetice	1	2	807	80	Eva Petrášová	Eva Petrášová	NK	1	080	14	12.35	0
6104	590304	Benetice	1	3	805	80	Antonín Houzar	Antonín Houzar	NK	1	080	25	22.06	0
6104	590304	Benetice	1	4	802	80	Karel Houzar	Karel Houzar	NK	1	080	101	89.15	1
6104	590304	Benetice	1	5	806	80	Ing. Vítězslav Herbrich	Ing. Vítězslav Herbrich	NK	1	080	102	90.03	1
6104	590304	Benetice	1	6	803	80	Božetěch Krejčí	Božetěch Krejčí	NK	1	080	35	30.89	0
6104	590304	Benetice	1	7	808	80	Ing. Lucie Vostalová	Ing. Lucie Vostalová	NK	1	080	26	22.95	0
6104	590304	Benetice	1	8	809	80	Michal Valík	Michal Valík	NK	1	080	97	85.62	1
6104	590304	Benetice	1	9	812	80	Radek Novotný	Radek Novotný	NK	1	080	82	72.38	1
6104	590304	Benetice	1	10	813	80	Jan Vostal	Jan Vostal	NK	1	080	38	33.54	0
6104	590304	Benetice	1	11	810	80	Petra Vodová	Petra Vodová	NK	1	080	104	91.8	1
6104	590304	Benetice	1	12	811	80	Jana Vostalová	Jana Vostalová	NK	1	080	81	71.5	1
6104	590304	Benetice	1	13	804	80	Renata Houzarová	Renata Houzarová	NK	1	080	21	18.53	0
