OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
7203	545147	Velká Lhota	1	1	814	80	Miroslav Kubík, nezávislý kandidát	Miroslav Kubík, NK	NK	1	080	187	92.11	1
7203	545147	Velká Lhota	1	2	809	80	Lubomír Pavelka, nezávislý kandidát	Lubomír Pavelka, NK	NK	1	080	122	60.09	1
7203	545147	Velká Lhota	1	3	817	80	Jan Martinek, nezávislý kandidát	Jan Martinek, NK	NK	1	080	127	62.56	1
7203	545147	Velká Lhota	1	4	813	80	David Čunek, nezávislý kandidát	David Čunek, NK	NK	1	080	60	29.55	0
7203	545147	Velká Lhota	1	5	815	80	Marek Zátorský, nezávislý kandidát	Marek Zátorský, NK	NK	1	080	97	47.78	0
7203	545147	Velká Lhota	1	6	801	80	Jan Daněk, nezávislý kandidát	Jan Daněk, NK	NK	1	080	67	33	0
7203	545147	Velká Lhota	1	7	806	80	David Vybíral, nezávislý kandidát	David Vybíral, NK	NK	1	080	72	35.46	0
7203	545147	Velká Lhota	1	8	812	80	Michal Lysák, nezávislý kandidát	Michal Lysák, NK	NK	1	080	49	24.13	0
7203	545147	Velká Lhota	1	9	808	80	Pavel Polášek, nezávislý kandidát	Pavel Polášek, NK	NK	1	080	115	56.65	1
7203	545147	Velká Lhota	1	10	810	80	Jakub Vaculín, nezávislý kandidát	Jakub Vaculín, NK	NK	1	080	132	65.02	1
7203	545147	Velká Lhota	1	11	811	80	Dalibor Martinák, nezávislý kandidát	Dalibor Martinák, NK	NK	1	080	64	31.52	0
7203	545147	Velká Lhota	1	12	803	80	David Vrubl, nezávislý kandidát	David Vrubl, NK	NK	1	080	106	52.21	1
7203	545147	Velká Lhota	1	13	804	80	Martin Kovář, nezávislý kandidát	Martin Kovář, NK	NK	1	080	182	89.65	1
7203	545147	Velká Lhota	1	14	816	80	Tomáš Zajíček, nezávislý kandidát	Tomáš Zajíček, NK	NK	1	080	117	57.63	1
7203	545147	Velká Lhota	1	15	805	80	Jarmila Melichaříková, nezávislý kandidát	Jarmila Melichaříková, NK	NK	1	080	228	112.31	1
7203	545147	Velká Lhota	1	16	802	80	Jiří Chromela, nezávislý kandidát	Jiří Chromela, NK	NK	1	080	71	34.97	0
7203	545147	Velká Lhota	1	17	807	80	Ondřej Zuzaňák, nezávislý kandidát	Ondřej Zuzaňák, NK	NK	1	080	31	15.27	0
