OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
7204	500011	Želechovice nad Dřevnicí	1	1	802	80	Kateřina Kořénková, Nezávislý kandidát	Kateřina Kořénková, NK	NK	1	080	85	10.66	0
7204	500011	Želechovice nad Dřevnicí	1	2	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166	7408	61.98	10
7204	500011	Želechovice nad Dřevnicí	1	3	801	80	Dagmar Kaňovská, Nezávislý kandidát	Dagmar Kaňovská, NK	NK	1	080	70	8.78	0
7204	500011	Želechovice nad Dřevnicí	1	4	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	1036	8.66	1
7204	500011	Želechovice nad Dřevnicí	1	5	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	1777	14.86	2
7204	500011	Želechovice nad Dřevnicí	1	6	143	143	Spojení demokraté - Sdružení nezávislých	Spojení demokraté-Sdruž.nezáv.	SD-SN	1	143	1575	13.17	2
7204	534811	Podhradí	1	1	901	90	SDH Podhradí	SDH Podhradí	SNK	1	080	598	100	7
7204	535184	Tichov	1	1	903	90	OBEC PRO OBČANY	OBEC PRO OBČANY	SNK	1	080	493	28.07	2
7204	535184	Tichov	1	2	901	90	"""Za krásnější obec"""	"""Za krásnější obec"""	SNK	1	080	843	48	5
7204	535184	Tichov	1	3	902	90	BUDOUCNOST TICHOVA	BUDOUCNOST TICHOVA	SNK	1	080	420	23.91	2
7204	538744	Březnice	1	1	427	427	BŘEZNICE 2020	BŘEZNICE 2020		2	080,143	1337	19.39	3
7204	538744	Březnice	1	2	470	470	SDRUŽENÍ  NEZÁVISLÝCH KANDIDÁTŮ BŘEZNICE	SNK Březnice		2	080,166	4434	64.31	10
