OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5202	572667	Bašnice	1	1	807	80	Martin Frýdl	Martin Frýdl	NK	1	080	102	106.25	1
5202	572667	Bašnice	1	2	802	80	Tomáš Chlad	Tomáš Chlad	NK	1	080	77	80.2	1
5202	572667	Bašnice	1	3	803	80	Milan Novotný	Milan Novotný	NK	1	080	91	94.79	1
5202	572667	Bašnice	1	4	808	80	Petr Valenta	Petr Valenta	NK	1	080	24	25	0
5202	572667	Bašnice	1	5	810	80	Klára Ponocná	Klára Ponocná	NK	1	080	16	16.66	0
5202	572667	Bašnice	1	6	812	80	Vladimír Jindra	Vladimír Jindra	NK	1	080	49	51.04	1
5202	572667	Bašnice	1	7	806	80	Zdeněk Pěnkava	Zdeněk Pěnkava	NK	1	080	33	34.37	0
5202	572667	Bašnice	1	8	801	80	Miroslav Šolc	Miroslav Šolc	NK	1	080	93	96.87	1
5202	572667	Bašnice	1	9	811	80	Markéta Šanderová	Markéta Šanderová	NK	1	080	16	16.66	0
5202	572667	Bašnice	1	10	804	80	Lenka Koňáková	Lenka Koňáková	NK	1	080	95	98.95	1
5202	572667	Bašnice	1	11	809	80	Michal John	Michal John	NK	1	080	7	7.29	0
5202	572667	Bašnice	1	12	805	80	Milan Novotný	Milan Novotný	NK	1	080	69	71.87	1
