OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5202	572144	Sekeřice	1	1	804	80	Milada Janatová	Milada Janatová	NK	1	080	60	93.95	1
5202	572144	Sekeřice	1	2	806	80	Markéta Novotná	Markéta Novotná	NK	1	080	58	90.82	1
5202	572144	Sekeřice	1	3	801	80	Josef Kufr	Josef Kufr	NK	1	080	54	84.56	1
5202	572144	Sekeřice	1	4	809	80	Markéta Diblíčková	Markéta Diblíčková	NK	1	080	34	53.24	1
5202	572144	Sekeřice	1	5	805	80	Ing. Petra Sedláčková	Petra Sedláčková	NK	1	080	72	112.75	1
5202	572144	Sekeřice	1	6	803	80	Martin Rygl	Martin Rygl	NK	1	080	70	109.61	1
5202	572144	Sekeřice	1	7	807	80	Vladimír Peš	Vladimír Peš	NK	1	080	0	0	0
5202	572144	Sekeřice	1	8	810	80	Stanislav Václavík	Stanislav Václavík	NK	1	080	21	32.88	0
5202	572144	Sekeřice	1	9	808	80	Irena Pastorková	Irena Pastorková	NK	1	080	15	23.48	0
5202	572144	Sekeřice	1	10	802	80	Vladimír Pižl	Vladimír Pižl	NK	1	080	63	98.65	1
