OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
8106	500291	Vřesina	1	1	1024	1024	Otevřená radnice	Otevřená radnice	Hora 2014	1	1024	4330	23.32	4
8106	500291	Vřesina	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	971	5.23	0
8106	500291	Vřesina	1	3	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	4316	23.25	4
8106	500291	Vřesina	1	4	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	1880	10.12	1
8106	500291	Vřesina	1	5	768	768	ANO 2011	ANO 2011	ANO	1	768	2068	11.14	2
8106	500291	Vřesina	1	6	901	90	SNK - Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080	3378	18.2	3
8106	500291	Vřesina	1	7	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1617	8.71	1
8106	506711	Dolní Lhota	1	1	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	1503	29.95	2
8106	506711	Dolní Lhota	1	2	901	90	"SDRUŽENÍ NEZÁVISLÝCH KANDIDÁTŮ - Za obec krásnější"""	"SNK Za obec krásnější"""	SNK	1	080	2412	48.06	4
8106	506711	Dolní Lhota	1	3	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	1103	21.98	1
8106	568449	Zbyslavice	1	1	901	90	Šance na změnu	Šance na změnu	SNK	1	080	1870	62.77	6
8106	568449	Zbyslavice	1	2	7	7	Česká strana sociálně demokratická	Česká str.sociálně demokrat.	ČSSD	1	007	495	16.61	1
8106	568449	Zbyslavice	1	3	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	614	20.61	2
8106	569119	Čavisov	1	1	901	90	"NEZÁVISLÍ PRO ČAVISOV"""	"NEZÁVISLÍ PRO ČAVISOV"""	SNK	1	080	1127	100	7
8106	569500	Horní Lhota	1	1	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053	968	24.2	2
8106	569500	Horní Lhota	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047	987	24.67	3
8106	569500	Horní Lhota	1	3	1	1	Křesťanská a demokratická unie - Československá strana lidová	Křesť.demokr.unie-Čs.str.lid.	KDU-ČSL	1	001	2045	51.12	6
