OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6103	548502	Onšov	1	1	804	80	Radek Svoboda	Radek Svoboda	NK	1	080	87	91.79	1
6103	548502	Onšov	1	2	809	80	Pavel Maleček	Pavel Maleček	NK	1	080	76	80.18	1
6103	548502	Onšov	1	3	808	80	Josef Jaroš	Josef Jaroš	NK	1	080	60	63.3	0
6103	548502	Onšov	1	4	807	80	Jakub Maleček	Jakub Maleček	NK	1	080	61	64.36	1
6103	548502	Onšov	1	5	802	80	Pavel Paťha	Pavel Paťha	NK	1	080	85	89.68	1
6103	548502	Onšov	1	6	801	80	Martin Budař	Martin Budař	NK	1	080	42	44.31	0
6103	548502	Onšov	1	7	810	80	Jiří Hrabánek	Jiří Hrabánek	NK	1	080	85	89.68	1
6103	548502	Onšov	1	8	806	80	Mgr. Bohumila Urbánková	Bohumila Urbánková	NK	1	080	70	73.85	1
6103	548502	Onšov	1	9	811	80	Hedvika Vodrážková	Hedvika Vodrážková	NK	1	080	111	117.11	1
6103	548502	Onšov	1	10	803	80	Martin Langr	Martin Langr	NK	1	080	63	66.47	1
6103	548502	Onšov	1	11	805	80	Tomáš Pikal	Tomáš Pikal	NK	1	080	113	119.22	1
