OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6105	595276	Bobrůvka	1	1	813	80	FRANTIŠEK  URBAN	FRANTIŠEK  URBAN	NK	1	080	54	33.75	0
6105	595276	Bobrůvka	1	2	801	80	Mgr. SLAVOMÍR  PIPA	Mgr. SLAVOMÍR  PIPA	NK	1	080	83	51.87	1
6105	595276	Bobrůvka	1	3	811	80	JIŘÍ  SVOBODA	JIŘÍ  SVOBODA	NK	1	080	14	8.75	0
6105	595276	Bobrůvka	1	4	806	80	ANETA  SÝKOROVÁ	ANETA  SÝKOROVÁ	NK	1	080	10	6.25	0
6105	595276	Bobrůvka	1	5	812	80	TOMÁŠ  SÝKORA	TOMÁŠ  SÝKORA	NK	1	080	36	22.5	0
6105	595276	Bobrůvka	1	6	803	80	JANA KEJDOVÁ	JANA KEJDOVÁ	NK	1	080	28	17.5	0
6105	595276	Bobrůvka	1	7	810	80	ZDENĚK  JURÁČEK	ZDENĚK  JURÁČEK	NK	1	080	10	6.25	0
6105	595276	Bobrůvka	1	8	805	80	Jana Sýkorová	Jana Sýkorová	NK	1	080	12	7.5	0
6105	595276	Bobrůvka	1	9	817	80	MILAN  PANCNER	MILAN  PANCNER	NK	1	080	117	73.12	1
6105	595276	Bobrůvka	1	10	816	80	JAN  KOVÁŘ	JAN  KOVÁŘ	NK	1	080	54	33.75	0
6105	595276	Bobrůvka	1	11	809	80	Bc. VERONIKA  BULENOVÁ, DiS.	Bc. VERONIKA  BULENOVÁ, DiS.	NK	1	080	22	13.75	0
6105	595276	Bobrůvka	1	12	802	80	KRISTÝNA BUREŠOVÁ	KRISTÝNA BUREŠOVÁ	NK	1	080	3	1.87	0
6105	595276	Bobrůvka	1	13	815	80	PETRA  URBANOVÁ, DiS.	PETRA  URBANOVÁ, DiS.	NK	1	080	70	43.75	0
6105	595276	Bobrůvka	1	14	814	80	PETR  VESELÝ	PETR  VESELÝ	NK	1	080	73	45.62	0
6105	595276	Bobrůvka	1	15	807	80	ZDEŇKA  MUSILOVÁ	ZDEŇKA  MUSILOVÁ	NK	1	080	68	42.5	0
6105	595276	Bobrůvka	1	16	901	90	Sdružení pro Bobrůvku	Sdružení pro Bobrůvku	SNK	1	080	393	35.08	5
6105	595276	Bobrůvka	1	17	808	80	KRISTÝNA  BABÁKOVÁ	KRISTÝNA  BABÁKOVÁ	NK	1	080	12	7.5	0
6105	595276	Bobrůvka	1	18	804	80	Bc. MARCELA KREJČÍ	Bc. MARCELA KREJČÍ	NK	1	080	61	38.12	0
