OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6105	595748	Javorek	1	1	801	80	Jitka Jílková	Jitka Jílková	NK	1	080	31	61.58	1
6105	595748	Javorek	1	2	806	80	Petr Žák	Petr Žák	NK	1	080	49	97.35	1
6105	595748	Javorek	1	3	807	80	Vlastimil Kakač	Vlastimil Kakač	NK	1	080	37	73.5	1
6105	595748	Javorek	1	4	802	80	Zdeňka Forchtsamová	Zdeňka Forchtsamová	NK	1	080	40	79.47	1
6105	595748	Javorek	1	5	805	80	Vladimír Řehan	Vladimír Řehan	NK	1	080	42	83.44	1
6105	595748	Javorek	1	6	808	80	Šárka Dostálová	Šárka Dostálová	NK	1	080	30	59.6	0
6105	595748	Javorek	1	7	804	80	Martina Jirčíková	Martina Jirčíková	NK	1	080	46	91.39	1
6105	595748	Javorek	1	8	803	80	Miroslav Škapa	Miroslav Škapa	NK	1	080	58	115.23	1
6105	595748	Javorek	1	9	810	80	Petr Dobiáš	Petr Dobiáš	NK	1	080	19	37.74	0
6105	595748	Javorek	1	10	811	80	Ondřej Forchtsam	Ondřej Forchtsam	NK	1	080	46	91.39	1
6105	595748	Javorek	1	11	809	80	Vladimír Hejtmánek	Vladimír Hejtmánek	NK	1	080	55	109.27	1
