OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
6204	584975	Valtice	1	1	768	768	ANO 2011	ANO 2011	ANO	1	768			
6204	584975	Valtice	1	2	1	1	KDU-ČSL	KDU-ČSL	KDU-ČSL	1	001			
6204	584975	Valtice	1	3	449	449	Volba pro Valtice	Volba pro Valtice	SNK ED+NK	2	080,129			
6204	584975	Valtice	1	4	901	90	ZMĚNA 22	ZMĚNA 22	SNK	1	080			
6204	584975	Valtice	1	5	902	90	VALTIČANÉ 2018	VALTIČANÉ 2018	SNK	1	080			
6204	584975	Valtice	1	6	1399	1399	OBCHVAT PRO VALTICE	OBCHVAT PRO VALTICE	APB+NK	2	080,1173			
6204	584975	Valtice	1	7	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047			
6204	584975	Valtice	1	8	1245	1245	PŘÍSAHA - občanské hnutí Roberta Šlachty	PŘÍSAHA-občanské hn.R. Šlachty	PŘÍSAHA	1	1245			
6204	584975	Valtice	1	9	371	371	Česká strana sociálně demokratická a nezávislí kandidáti	ČSSD a NK	ČSSD+NK	2	007,080			
6204	584975	Valtice	1	10	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053			
