OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3102	545562	Kaplice	1	1	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053			
3102	545562	Kaplice	1	2	371	371	KAPLICE SPOLEČNĚ	KAPLICE SPOLEČNĚ	ČSSD+NK	2	007,080			
3102	545562	Kaplice	1	3	541	541	PRO NAŠI KAPLICI	PRO NAŠI KAPLICI	Piráti+NK	2	080,720			
3102	545562	Kaplice	1	4	401	401	OTEVŘENÁ RADNICE KAPLICE	OTEVŘENÁ RADNICE KAPLICE	NEZ+NK	2	080,088			
3102	545562	Kaplice	1	5	5	5	Strana zelených	Strana zelených	Zelení	1	005			
3102	545562	Kaplice	1	6	1114	1114	Svoboda a přímá demokracie (SPD)	Svoboda a př. demokracie (SPD)	SPD	1	1114			
3102	545562	Kaplice	1	7	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047			
3102	545562	Kaplice	1	8	1	1	KDU-ČSL	KDU-ČSL	KDU-ČSL	1	001			
3102	545562	Kaplice	1	9	524	524	Patrioti pro Kaplici	Patrioti pro Kaplici	Patrioti ČR+NK	2	080,1004			
3102	545562	Kaplice	1	10	181	181	Nestraníci	Nestraníci	Nestran.	1	181			
3102	545562	Kaplice	1	11	449	449	SNK Evropští demokraté a nezávislí kandidáti	SNK Evrop. dem. a nezáv. kand.	SNK ED+NK	2	080,129			
3102	545562	Kaplice	1	12	901	90	DĚTI KAPLICE	DĚTI KAPLICE	SNK	1	080			
3102	545562	Kaplice	1	13	766	766	JIHOČEŠI 2012	JIHOČEŠI 2012	JIH 12	1	766			
