OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5301	571733	Liboměřice	1	1	807	80	JOSEF SECKÝ	JOSEF SECKÝ	NK	1	080			
5301	571733	Liboměřice	1	2	808	80	JAKUB DONÁT	JAKUB DONÁT	NK	1	080			
5301	571733	Liboměřice	1	3	804	80	Mgr. JITKA KLAUDOVÁ - nezávislý kandidát	Mgr. JITKA KLAUDOVÁ - NK	NK	1	080			
5301	571733	Liboměřice	1	4	805	80	MARCEL MICHEK - nezávislý kandidát	MARCEL MICHEK - NK	NK	1	080			
5301	571733	Liboměřice	1	5	809	80	FRANTIŠEK TLAPÁK - nezávislý kandidát	FRANTIŠEK TLAPÁK - NK	NK	1	080			
5301	571733	Liboměřice	1	6	806	80	KAREL MAREK	KAREL MAREK	NK	1	080			
5301	571733	Liboměřice	1	7	901	90	Sdružení nezávislých kandidátů	Sdružení nezávislých kandidátů	SNK	1	080			
5301	571733	Liboměřice	1	8	803	80	Mgr. LUCIE MUDRICHOVÁ	Mgr. LUCIE MUDRICHOVÁ	NK	1	080			
5301	571733	Liboměřice	1	9	811	80	PETRA PEŠKOVÁ	PETRA PEŠKOVÁ	NK	1	080			
5301	571733	Liboměřice	1	10	810	80	ALENA NOVOTNÁ - nezávislý kandidát	ALENA NOVOTNÁ - NK	NK	1	080			
5301	571733	Liboměřice	1	11	801	80	TOMÁŠ LOUČKA	TOMÁŠ LOUČKA	NK	1	080			
5301	571733	Liboměřice	1	12	802	80	PETR KOS	PETR KOS	NK	1	080			
