OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5201	513717	Urbanice	1	1	901	90	Pro Urbanice	Pro Urbanice	SNK	1	080			
5201	530671	Pšánky	1	1	801	80	Soňa Žižková	Soňa Žižková	NK	1	080			
5201	530671	Pšánky	1	2	901	90	Pšánky společně 2022+	Pšánky společně 2022+	SNK	1	080			
5201	548057	Vrchovnice	1	1	804	80	JIŘÍ ŠIMEK	JIŘÍ ŠIMEK	NK	1	080			
5201	548057	Vrchovnice	1	2	802	80	doc. MUDr. JAKUB SUCHÁNEK, Ph.D.	JAKUB SUCHÁNEK	NK	1	080			
5201	548057	Vrchovnice	1	3	803	80	SLÁDEK LUBOŠ	SLÁDEK LUBOŠ	NK	1	080			
5201	548057	Vrchovnice	1	4	806	80	Ing. Roman CHLEBNÍČEK	Roman CHLEBNÍČEK	NK	1	080			
5201	548057	Vrchovnice	1	5	808	80	Václav Zubr	Václav Zubr	NK	1	080			
5201	548057	Vrchovnice	1	6	807	80	JIŘÍ JANDA	JIŘÍ JANDA	NK	1	080			
5201	548057	Vrchovnice	1	7	801	80	Katka Štěrbová	Katka Štěrbová	NK	1	080			
5201	548057	Vrchovnice	1	8	805	80	Ing. Václav Hlavatý	Václav Hlavatý	NK	1	080			
5201	548057	Vrchovnice	1	9	809	80	ZDENĚK VOJTĚCH	ZDENĚK VOJTĚCH	NK	1	080			
5201	548065	Obědovice	1	1	901	90	Občané Obědovic	Občané Obědovic	SNK	1	080			
5201	548154	Světí	1	1	901	90	Sdružení nezávislých kandidátů Světí	SNK Světí	SNK	1	080			
5201	548677	Vysoký Újezd	1	1	901	90	PRO ÚJEZD	PRO ÚJEZD	SNK	1	080			
5201	569810	Hradec Králové	1	1	1590	1590	HRADEC ROZUMEM	HRADEC ROZUMEM	Svob+PRO2022+NK	3	080,714,1265			
5201	569810	Hradec Králové	1	2	371	371	Česká strana sociálně demokratická s podporou nezávislých	ČSSD s podporou nezávislých	ČSSD+NK	2	007,080			
5201	569810	Hradec Králové	1	3	1252	1252	ROMA LUMA	ROMA LUMA	LUMA	1	1252			
5201	569810	Hradec Králové	1	4	1256	1256	HRADEČÁCI	HRADEČÁCI	HK	1	1256			
5201	569810	Hradec Králové	1	5	1114	1114	Svoboda a přímá demokracie (SPD)	Svoboda a př. demokracie (SPD)	SPD	1	1114			
5201	569810	Hradec Králové	1	6	457	457	Hradečtí kantoři a Nestraníci	Hradečtí kantoři a Nestraníci	Nestraníci+NK	2	080,181			
5201	569810	Hradec Králové	1	7	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166			
5201	569810	Hradec Králové	1	8	1530	1530	Hradecký demokratický klub a TOP 09 s podporou Hradeckých patriotů a LES	HDK a TOP 09 s podp. HP a LES	TOP+LES+HP+HDK	4	721,795,1016,1049			
5201	569810	Hradec Králové	1	9	364	364	Změna pro Hradec a Zelení	Změna pro Hradec a Zelení	Zelení+NK	2	005,080			
5201	569810	Hradec Králové	1	10	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047			
5201	569810	Hradec Králové	1	11	768	768	ANO 2011	ANO 2011	ANO	1	768			
5201	569810	Hradec Králové	1	12	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053			
5201	569810	Hradec Králové	1	13	1564	1564	ROZVÍJÍME HRADEC - NOVÁ HRADECKÁ OBČANSKÁ KANDIDÁTKA	ROZVÍJÍME HRADEC - NOVÁ H.O.K.	RH+NK	2	080,1267			
5201	569810	Hradec Králové	1	14	720	720	Česká pirátská strana	Česká pirátská strana	Piráti	1	720			
5201	569810	Hradec Králové	1	15	355	355	Koalice pro Hradec	Koalice pro Hradec	KDU-ČSL+NK	2	001,080			
5201	569828	Babice	1	1	902	90	Pro Babice	Pro Babice	SNK	1	080			
5201	569828	Babice	1	2	901	90	ZA NAŠE BABICE	ZA NAŠE BABICE	SNK	1	080			
5201	569836	Barchov	1	1	805	80	Ing. Šárka Vojtěchová	Šárka Vojtěchová	NK	1	080			
5201	569836	Barchov	1	2	801	80	Ing. Alžběta Hladíková	Alžběta Hladíková	NK	1	080			
5201	569836	Barchov	1	3	803	80	Roman Miške	Roman Miške	NK	1	080			
