OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5203	505099	Červená Hora	1	1	803	80	Mgr. Kateřina Kosinková	Kateřina Kosinková	NK	1	080			
5203	505099	Červená Hora	1	2	808	80	Ing. Lukáš Kosinka	Lukáš Kosinka	NK	1	080			
5203	505099	Červená Hora	1	3	807	80	Tomáš Kocourek	Tomáš Kocourek	NK	1	080			
5203	505099	Červená Hora	1	4	806	80	Ivana Jiroušková	Ivana Jiroušková	NK	1	080			
5203	505099	Červená Hora	1	5	801	80	Miroslav Bůžek	Miroslav Bůžek	NK	1	080			
5203	505099	Červená Hora	1	6	811	80	Josef Vavrinec	Josef Vavrinec	NK	1	080			
5203	505099	Červená Hora	1	7	804	80	Jan Jirásek	Jan Jirásek	NK	1	080			
5203	505099	Červená Hora	1	8	802	80	Dagmar Bůžková	Dagmar Bůžková	NK	1	080			
5203	505099	Červená Hora	1	9	810	80	Josef Škalda	Josef Škalda	NK	1	080			
5203	505099	Červená Hora	1	10	805	80	Marek Jiroušek	Marek Jiroušek	NK	1	080			
5203	505099	Červená Hora	1	11	809	80	Ing. Petr Strnad	Petr Strnad	NK	1	080			
5203	505099	Červená Hora	1	12	813	80	Ing. Jana Červinková	Jana Červinková	NK	1	080			
5203	505099	Červená Hora	1	13	812	80	Ing. Bronislav Zajíc	Bronislav Zajíc	NK	1	080			
