OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
3107	563625	Haškovcova Lhota	1	1	806	80	Vendula Müllerová	Vendula Müllerová	NK	1	080			
3107	563625	Haškovcova Lhota	1	2	808	80	Jana Matyásková	Jana Matyásková	NK	1	080			
3107	563625	Haškovcova Lhota	1	3	802	80	Ing. Zdeněk Kočí	Zdeněk Kočí	NK	1	080			
3107	563625	Haškovcova Lhota	1	4	803	80	Radek Douda	Radek Douda	NK	1	080			
3107	563625	Haškovcova Lhota	1	5	805	80	Milena Bínová	Milena Bínová	NK	1	080			
3107	563625	Haškovcova Lhota	1	6	807	80	Jana Doudová	Jana Doudová	NK	1	080			
3107	563625	Haškovcova Lhota	1	7	804	80	Zdeněk Haškovec	Zdeněk Haškovec	NK	1	080			
3107	563625	Haškovcova Lhota	1	8	801	80	Jiří Fuka	Jiří Fuka	NK	1	080			
3107	563625	Haškovcova Lhota	1	9	810	80	Martin Matyásek	Martin Matyásek	NK	1	080			
3107	563625	Haškovcova Lhota	1	10	809	80	Jan Haškovec	Jan Haškovec	NK	1	080			
