OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
4207	567892	Ústí nad Labem-město	1	1	785	785	Zdraví Sport Prosperita	Zdraví Sport Prosperita	PRO Zdraví	1	785			
4207	567892	Ústí nad Labem-město	1	2	47	47	Komunistická strana Čech a Moravy	Komunistická str.Čech a Moravy	KSČM	1	047			
4207	567892	Ústí nad Labem-město	1	3	166	166	STAROSTOVÉ A NEZÁVISLÍ	STAROSTOVÉ A NEZÁVISLÍ	STAN	1	166			
4207	567892	Ústí nad Labem-město	1	4	1245	1245	PŘÍSAHA - občanské hnutí Roberta Šlachty	PŘÍSAHA Roberta Šlachty	PŘÍSAHA	1	1245			
4207	567892	Ústí nad Labem-město	1	5	768	768	ANO 2011	ANO 2011	ANO	1	768			
4207	567892	Ústí nad Labem-město	1	6	53	53	Občanská demokratická strana	Občanská demokratická strana	ODS	1	053			
4207	567892	Ústí nad Labem-město	1	7	1616	1616	Aliance pro Ústí	Aliance pro Ústí	Manifest.cz+NK	2	080,1247			
4207	567892	Ústí nad Labem-město	1	8	529	529	PRO! Ústí	PRO! Ústí	Zel.+Piráti+NK	3	005,080,720			
4207	567892	Ústí nad Labem-město	1	9	540	540	SPOLEČNĚ Ústí nad Labem	SPOLEČNĚ Ústí nad Labem	KDUČSL+TOP09+NK	3	001,080,721			
4207	567892	Ústí nad Labem-město	1	10	1487	1487	Svoboda a přímá demokracie (SPD) s podporou politické strany Trikolora	Koalice SPD, Trikolora	SPD+Trikolora	2	1114,1227			
4207	567892	Ústí nad Labem-město	1	11	1128	1128	Vaše Ústí	Vaše Ústí	VÚ	1	1128			
4207	567892	Ústí nad Labem-město	1	12	1012	1012	ÚSTECKÉ FÓRUM OBČANŮ	ÚSTECKÉ FÓRUM OBČANŮ	UFO	1	1012			
