OKRES	KODZASTUP	NAZEVZAST	COBVODU	POR_STR_HL	OSTRANA	VSTRANA	NAZEVCELK	ZKRATKAO30	ZKRATKAO8	POCSTR_SLO	SLOZENI	HLASY_STR	PROCHLSTR	MAND_STR
5304	579998	Čenkovice	1	1	810	80	Gabriela Divišová	Gabriela Divišová	NK	1	080			
5304	579998	Čenkovice	1	2	811	80	Ing. Eva Tlacháčová	Ing. Eva Tlacháčová	NK	1	080			
5304	579998	Čenkovice	1	3	803	80	Soňa Zámečníková	Soňa Zámečníková	NK	1	080			
5304	579998	Čenkovice	1	4	812	80	Ing. František Betlach	Ing. František Betlach	NK	1	080			
5304	579998	Čenkovice	1	5	804	80	Ing. Miroslav Nový	Ing. Miroslav Nový	NK	1	080			
5304	579998	Čenkovice	1	6	809	80	Hana Slodičáková	Hana Slodičáková	NK	1	080			
5304	579998	Čenkovice	1	7	808	80	Ing. Jakub Betlach	Ing. Jakub Betlach	NK	1	080			
5304	579998	Čenkovice	1	8	802	80	Václav Matějka	Václav Matějka	NK	1	080			
5304	579998	Čenkovice	1	9	807	80	Jiří Voldřich	Jiří Voldřich	NK	1	080			
5304	579998	Čenkovice	1	10	805	80	Martin Betlach	Martin Betlach	NK	1	080			
5304	579998	Čenkovice	1	11	806	80	Luděk Abrahám	Luděk Abrahám	NK	1	080			
5304	579998	Čenkovice	1	12	801	80	Josef Dostálek	Josef Dostálek	NK	1	080			
